domain_from,domain_from_rank,url_from,page_from_title,url_to,anchor,dofollow,is_lost,first_seen,last_seen,item_type,backlink_spam_score,is_indirect_link
sitecatalog.ru,323,https://sitecatalog.ru/dmoz/sports/soccer-sports,Soccer_(Sports) | SITECATALOG,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2025-11-23 03:26:01 +00:00,2025-11-23 03:26:01 +00:00,anchor,40,false
bye.fyi,320,https://bye.fyi/report/76200,👲 Domain Report 👲,https://grassrootsfootball.co.uk/,grassrootsfootball.co.uk,false,false,2026-05-01 19:28:32 +00:00,2026-07-08 23:49:42 +00:00,anchor,50,false
wayranks.com,318,https://wayranks.com/coach-marketing-push-or-pull-marketing-are-you-chasing-customers-or-are-they-chasing-you-1552/,"Coach Marketing – Push Or Pull Marketing – Are You Chasing Customers, Or Are They Chasing You?-1552 | Way Ranks",https://grassrootsfootball.co.uk/,grassrootsfootball,true,false,2025-11-11 14:08:00 +00:00,2026-09-08 20:01:45 +00:00,anchor,65,false
bye.fyi,317,https://bye.fyi/report/76199,👲 Domain Report 👲,https://grassrootsfootball.co.uk/,grassrootsfootball.co.uk,false,false,2026-06-02 14:17:59 +00:00,2026-08-24 11:21:06 +00:00,anchor,50,false
articlement.com,312,https://articlement.com/youtube-for-marketing-124/,YouTube for Marketing-124 | Article Ment,https://grassrootsfootball.co.uk/,grassrootsfootball,true,false,2024-05-27 23:36:11 +00:00,2026-08-21 18:13:36 +00:00,anchor,55,false
prospeo.io,306,https://prospeo.io/t/bigdatacloud-ip-geolocation-customers,BigDataCloud IP Geolocation Customers,https://grassrootsfootball.co.uk/,grassrootsfootball.co.uk,true,false,2026-03-12 09:58:26 +00:00,2026-07-24 15:58:22 +00:00,anchor,0,false
urls-shortener.eu,305,https://urls-shortener.eu/share/76200,❤️ URL Shared ❤️,https://grassrootsfootball.co.uk/,,true,true,2026-01-05 21:35:00 +00:00,2026-02-23 11:16:45 +00:00,anchor,0,false
www.armagard.pl,300,https://www.armagard.pl/artykuly/zestaw-digital-signage-w-swiecie-pilki-noznej-jak-zarobic-na-rzeszach-fanow-pojawiajacych-sie-na-meczach/,Zestaw Digital Signage w świecie piłki nożnej,https://www.grassrootsfootball.co.uk/,Grassroots,true,false,2019-02-16 23:21:52 +00:00,2026-09-08 14:29:58 +00:00,anchor,0,false
www.armagard.fr,298,https://www.armagard.fr/blog/digital-signage-dans-le-domaine-du-football/,Digital Signage Dans Le Domaine Du Football,https://www.grassrootsfootball.co.uk/,novices,true,false,2019-01-21 04:38:33 +00:00,2026-09-08 21:52:29 +00:00,anchor,0,false
theviewfromcullingworth.blogspot.com,297,https://theviewfromcullingworth.blogspot.com/search/label/arts.,The View from Cullingworth: arts.,http://www.grassrootsfootball.co.uk/files/juliandicks_backtograssroots.pdf,players,true,false,2025-09-04 05:29:43 +00:00,2025-09-04 05:29:43 +00:00,anchor,20,false
theviewfromcullingworth.blogspot.com,297,https://theviewfromcullingworth.blogspot.com/search/label/arts%20funding,The View from Cullingworth: arts funding,http://www.grassrootsfootball.co.uk/files/juliandicks_backtograssroots.pdf,players,true,false,2025-09-04 05:25:06 +00:00,2025-09-04 05:25:06 +00:00,anchor,40,false
webscountry.com,296,https://webscountry.com/youtube-for-marketing-124/,YouTube for Marketing-124 | Webs Country,https://grassrootsfootball.co.uk/,grassrootsfootball,true,false,2025-06-22 15:42:52 +00:00,2026-04-27 18:23:51 +00:00,anchor,55,false
theviewfromcullingworth.blogspot.com,296,https://theviewfromcullingworth.blogspot.com/2010/07/some-thoughts-about-arts-funding-and.html,The View from Cullingworth: Some thoughts about arts funding and football,http://www.grassrootsfootball.co.uk/files/juliandicks_backtograssroots.pdf,players,true,false,2023-10-17 16:55:24 +00:00,2025-12-30 09:56:49 +00:00,anchor,25,false
theviewfromcullingworth.blogspot.com,294,https://theviewfromcullingworth.blogspot.com/search/label/performing%20arts,The View from Cullingworth: performing arts,http://www.grassrootsfootball.co.uk/files/juliandicks_backtograssroots.pdf,players,true,false,2025-09-05 23:27:48 +00:00,2025-09-05 23:27:48 +00:00,anchor,20,false
www.odp.org,291,http://www.odp.org/Sports/Soccer/UEFA/England/Coaching,Coaching Web Directory: ODP.org   > Sports    > Soccer    > UEFA    > England    > Coaching    Directory,http://www.grassrootsfootball.co.uk/,Grass Roots Football Show,true,false,2024-04-18 10:55:16 +00:00,2026-05-05 02:53:29 +00:00,anchor,50,false
odp.org,291,http://odp.org/Sports/Soccer/UEFA/England/Coaching,Coaching Web Directory: ODP.org   > Sports    > Soccer    > UEFA    > England    > Coaching    Directory,http://www.grassrootsfootball.co.uk/,Grass Roots Football Show,true,false,2021-04-21 11:22:42 +00:00,2026-04-28 14:35:11 +00:00,anchor,50,false
